,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
93,2022-05-24 16:39, (North Hollywood),Studio With Loft in Arts District ^ Furnished ^ New Community,,993.0,https://losangeles.craigslist.org/sfv/apa/d/toluca-lake-studio-with-loft-in-arts/7487936011.html,"3,895","['34.168608', '-118.383010']",,
94,2022-05-24 16:38, (North Hollywood),2bd/1ba,2.0,1000.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-2bd-1ba/7487922634.html,"1,900","['34.172905', '-118.371112']",,
95,2022-05-24 16:37," (17621 W. Pauline Ct., Canyon Country, CA)","Maple Hardwood Cabinets, Enclosed Dog Park, On Site Maintenance",3.0,1344.0,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-maple-hardwood-cabinets/7486301098.html,"3,085","['34.413200', '-118.426000']",,
96,2022-05-24 16:36, (North Hollywood),#236 GREEK STUDIO w/ COURTYARD VIEW & CONCRETE FLOORING!,,580.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-236-greek-studio/7487905808.html,"2,555","['34.166906', '-118.375118']",,
97,2022-05-24 16:36, (san fernando valley),"Laundry Facilities, Sundeck, BBQ grilling and picnic area",1.0,667.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-laundry-facilities/7483625598.html,"2,325","['34.176700', '-118.615900']",,
98,2022-05-24 16:36, (North Hills 91343),2+2 in North Hills with Patio/Balcony++ Laminate Flooring++ Call Now,2.0,1100.0,https://losangeles.craigslist.org/sfv/apa/d/north-hills-22-in-north-hills-with/7487930828.html,"2,200","['34.235403', '-118.468415']",,
99,2022-05-24 16:35, (san fernando valley),"1B/1B, Oversized walk-in closets, in Los Angeles CA",1.0,792.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-1b-1b-oversized-walk-in/7487934821.html,"2,208","['34.236700', '-118.546600']",,
100,2022-05-24 16:35, (North Hollywood / Valley Village),"Valley Village/NoHo 2 Bedroom + Pool, Gym, Parking, Controlled Access",2.0,1100.0,https://losangeles.craigslist.org/sfv/apa/d/valley-village-valley-village-noho/7487934727.html,"2,495","['34.163324', '-118.396513']",,
101,2022-05-24 16:34, (san fernando valley),"1 bedroom, 9-foot ceilings, Wood-style plank flooring",1.0,792.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-bedroom-foot-ceilings-wood/7487934432.html,"2,243","['34.236700', '-118.546600']",,
102,2022-05-24 16:34," (Valencia, Santa Clarita, Saugus)",PRE-LEASE STUDIO @ Bridgeport Coast! Online NOW!,1.0,557.0,https://losangeles.craigslist.org/sfv/apa/d/pre-lease-studio-bridgeport-coast/7487934338.html,"2,128","[None, None]",,
103,2022-05-24 16:34, (Close to Ventura Blvd),1+1 W/ Washer/Dryer in Prime Encino | Resort-Style Features + Must See,1.0,965.0,https://losangeles.craigslist.org/sfv/apa/d/encino-11-washer-dryer-in-prime-encino/7487931255.html,"2,395","['34.170410', '-118.524417']",,
