,Unnamed: 0,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
715,715,2022-05-18 10:19," (404 Pine Ave Long Beach, CA)","Don't miss this Downtown 2bd,2ba! Huge closets & in-unit laundry!",2.0,1098.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-dont-miss-this-downtown/7485278726.html,"3,696","['33.771900', '-118.192599']",33.771900,-118.192599
716,716,2022-05-18 10:14," (404 Pine Ave Long Beach, CA)",Available now with 2 weeks FREE! Schedule a tour today!,1.0,742.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-available-now-with-weeks/7485275745.html,"2,944","['33.771900', '-118.192599']",33.771900,-118.192599
717,717,2022-05-18 10:13, (Long Beach),"💚 2 Bdrm + 2 Bath w/AC, Parking and a Balcony💚 TOUR TODAY!",2.0,980.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bdrm-bath-ac-parking-and/7485275083.html,"2,655","['33.841751', '-118.176061']",33.841751,-118.176061
718,718,2022-05-18 10:03, (Long Beach),"🌞Keep It Classy in this2 Bdrm + 2 Bath w/Fireplace, Balcony & Parking",2.0,980.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-keep-it-classy-in-this2-bdrm/7485269452.html,"2,655","['33.841751', '-118.176061']",33.841751,-118.176061
719,719,2022-05-18 10:03, (Long Beach),"°★* RARELY AVAILABLE 2 BED, 1.75 BATH NEW APARTMENT *★°",2.0,950.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-rarely-available-bed-175/7485269083.html,"2,575","['33.841751', '-118.176061']",33.841751,-118.176061
720,720,2022-05-18 10:02, (Long Beach),🐱This 2+1.75 is the Cats MEOW! AC & Parking Included. Tour in June!!,2.0,950.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-this-2175-is-the-cats-meow/7485268585.html,"2,575","['33.841751', '-118.176061']",33.841751,-118.176061
721,721,2022-05-18 10:00, (Long Beach),👀This 2 Bdrm 1.75 Bath w/AC Is Blocks from Trader Joes & Starbucks!,2.0,950.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-this-bdrm-175-bath-ac-is/7485267305.html,"2,575","['33.841751', '-118.176061']",33.841751,-118.176061
722,722,2022-05-18 09:59, (Long Beach),Charming Long Beach home near Scherer Park,2.0,676.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-charming-long-beach-home/7473338678.html,"2,600","['33.843616', '-118.192702']",33.843616,-118.192702
723,723,2022-05-18 09:45, (Long Beach),😎 BE COOL by the POOL 💦Private 2 +1 w/All appliances & Parking🐾🎀,2.0,950.0,https://losangeles.craigslist.org/lgb/apa/d/lakewood-be-cool-by-the-pool-private-1/7485259658.html,"2,535","['33.847016', '-118.166001']",33.847016,-118.166001
724,724,2022-05-18 09:36, (Long Beach),WOW Come 👀 this 1+1 w/Balcony 😎PEN HOUSE To TOUR 🎀👀,1.0,650.0,https://losangeles.craigslist.org/lgb/apa/d/lakewood-wow-come-this-11-balcony-pen/7485254860.html,"2,280","['33.847016', '-118.166001']",33.847016,-118.166001
725,725,2022-05-18 09:36, (Norwalk),"Storage Space, Cherry Cabinetry, Recess lighting, Pool",1.0,660.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-storage-space-cherry-cabinetry/7485254785.html,"2,024","['33.914701', '-118.085625']",33.914701,-118.085625
726,726,2022-05-18 09:27, (Norwalk),Remodeled Apartment,1.0,,https://losangeles.craigslist.org/lgb/apa/d/norwalk-remodeled-apartment/7485249433.html,"1,795","['33.917016', '-118.088345']",33.917016,-118.088345
727,727,2022-05-18 09:23, (Long Beach),🌺OPEN HOUSE TODAY🌺ENJOY Your New STUDIO w/Parking 🚗is Right Here! -,,450.0,https://losangeles.craigslist.org/lgb/apa/d/lakewood-open-house-todayenjoy-your-new/7485247339.html,"1,805","['33.847016', '-118.166001']",33.847016,-118.166001
728,728,2022-05-18 09:21, (long beach / 562),"Unique, Awesome Location, Large, Beautiful, More - See Description",1.0,,https://losangeles.craigslist.org/lgb/apa/d/los-angeles-unique-awesome-location/7485236623.html,"1,645","['34.112100', '-118.259400']",34.112100,-118.259400
729,729,2022-05-18 09:21, (Bellflower),Two Bedroom House,2.0,,https://losangeles.craigslist.org/lgb/apa/d/bellflower-two-bedroom-house/7485246087.html,"2,195","['33.887722', '-118.119485']",33.887722,-118.119485
730,730,2022-05-18 09:20, (Hawaiian Gardens),Active Senior Living -Ceiing Fans -Remodeled 1+1 in Hawaiian Gardens,1.0,554.0,https://losangeles.craigslist.org/lgb/apa/d/hawaiian-gardens-active-senior-living/7478218877.html,"1,550","['33.824015', '-118.072637']",33.824015,-118.072637
731,731,2022-05-18 09:19, (Downey),Renovated 1+1 in Downey | Quartz Counters | SS Appliances | Gym | Pool,1.0,624.0,https://losangeles.craigslist.org/lgb/apa/d/downey-renovated-11-in-downey-quartz/7482910761.html,"2,050","['33.917014', '-118.114134']",33.917014,-118.114134
732,732,2022-05-18 09:14, (long beach / 562),"Unique, Awesome Location, Large, Beautiful, More - See Description",1.0,,https://losangeles.craigslist.org/lgb/apa/d/los-angeles-unique-awesome-location/7485236996.html,"1,645","['34.112100', '-118.259400']",34.112100,-118.259400
733,733,2022-05-18 09:14, (long beach / 562),"Amazing Studio, Newly Renovated, Sky Deck!!!",,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-amazing-studio-newly/7485241992.html,"2,200","['33.770600', '-118.182000']",33.770600,-118.182000
734,734,2022-05-18 09:10, (Long Beach),LONG BEACH 1 Bedroom 1 Bath + Ceiling Fan(s) + Awesome Value,1.0,630.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-long-beach-bedroom-bath/7475495407.html,"1,605","['33.842316', '-118.175002']",33.842316,-118.175002
735,735,2022-05-18 08:57," (5910 Orange Ave, Apt.# D, Long Beach, CA 90805)",Open House - Will work with bad credit - 1 br/ 1 ba,1.0,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-open-house-will-work-with/7485227088.html,"1,750","['33.862173', '-118.177402']",33.862173,-118.177402
736,736,2022-05-18 08:42, (long beach / 562),Nice & Open Floor Plan with New Plank Flooring - Ready for Move In!,2.0,1236.0,https://losangeles.craigslist.org/lgb/apa/d/downey-nice-open-floor-plan-with-new/7480486562.html,"2,972","['33.958100', '-118.117400']",33.958100,-118.117400
737,737,2022-05-18 08:34, (Downey),Lots of Closet Space ~ 2 Bedroom 1 Bath in Downey ~ Controlled Access,2.0,777.0,https://losangeles.craigslist.org/lgb/apa/d/downey-lots-of-closet-space-bedroom/7485220982.html,"2,150","['33.966171', '-118.114576']",33.966171,-118.114576
738,738,2022-05-18 08:30, (Whittier),1 Bedroom 1 Bath,1.0,850.0,https://losangeles.craigslist.org/lgb/apa/d/whittier-bedroom-bath/7485218982.html,"1,750","['33.954624', '-118.044505']",33.954624,-118.044505
739,739,2022-05-18 08:13, (Compton),Compton 3bed 2 bath 2 car garage,3.0,,https://losangeles.craigslist.org/lgb/apa/d/compton-compton-3bed-bath-car-garage/7485209779.html,"3,750","['33.874800', '-118.240200']",33.874800,-118.240200
740,740,2022-05-18 08:04, (Long Beach),Come in as a stranger and stay as a neighbor! Studio /365 SqFt,,365.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-come-in-as-stranger-and-stay/7485204941.html,"1,725","['33.871149', '-118.185919']",33.871149,-118.185919
741,741,2022-05-18 08:03, (Long Beach),Simply stunning garden-style Studio in Long Beach,,365.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-simply-stunning-garden-style/7485204155.html,"1,725","['33.871149', '-118.185919']",33.871149,-118.185919
742,742,2022-05-18 07:21," (5910 Orange Ave, Apt.# D, Long Beach, CA 90805)",Open House - Will work with bad credit - 1 br/ 1 ba,1.0,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-open-house-will-work-with/7485184898.html,"1,750","['33.862173', '-118.177402']",33.862173,-118.177402
743,743,2022-05-18 06:00," (Long Beach , CalState)",Enjoy stunning Studio with Ocean View in Long Beach near CALState,,360.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-enjoy-stunning-studio-with/7485145559.html,"1,500","['33.770600', '-118.182000']",33.770600,-118.182000
744,744,2022-05-18 05:49, (Paramount),"CLEAN, QUIET NO DRUGS, READY TO MOVE STOP LOOKING!!",1.0,300.0,https://losangeles.craigslist.org/lgb/apa/d/paramount-clean-quiet-no-drugs-ready-to/7472969808.html,,"['33.894070', '-118.179536']",33.894070,-118.179536
