,posted,neighborhood,post title,number bedrooms,sqft,URL,price,lat
2672,2022-05-22 09:20, (Highland Park),W/D in Unit ~ Recessed Lights ~ Brand New 1 Bedroom in Eagle Rock Adj,1,744.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-d-in-unit-recessed-lights/7486891398.html,"3,000",
2673,2022-05-22 09:19, (Mid-Wilshire/Miracle Mile),"Studio in Koreatown, Exposed Brick, Wood Like Floors, Laundry On-Site",,468.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-in-koreatown-exposed/7486888492.html,"1,600",
2674,2022-05-22 09:19, (Los Angeles),🔥🔥 2x2 in DTLA  - 1/2 Month Off + Parking - Won't last long  🔥🔥,,1053.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-2x2-in-dtla-month-off/7486891128.html,"2,858",
2675,2022-05-22 09:19, (Westlake South),☮ Studio in Westlake South ** DTLA Adjacent ** Schedule Your Tour ☮,,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-in-westlake-south/7486891101.html,"1,495",
2676,2022-05-22 09:19, (Baldwin Hills),Controlled Access ** Remodeled 2 Bedroom 2 Bath in West Adams Adjacent,2,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-controlled-access-remodeled/7486888228.html,"2,125",
2677,2022-05-22 09:16, (Silver Lake),1 Bedroom 1 Bath in Silver Lake - Exposed Brick - Schedule Your Tour!,1,741.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bath-in-silver-lake/7486889711.html,"2,195",
2678,2022-05-22 09:16, (West Hollywood),2+2 in West Hollywood * Ample Storage * Up to 3 Months Free * Garage,2,1582.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-22-in-west-hollywood-ample/7486889519.html,"6,495",
2679,2022-05-22 09:15, (Koreatown),Renovated JR 1 Bedroom in Koreatown/Downtown LA With Walk-in Closets,1,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-renovated-jr-bedroom-in/7486889389.html,"1,600",
2680,2022-05-22 09:15, (Hollywood),"Condo Quality 2+2 in Hollywood, Central A/C, W/D, Rooftop Deck",2,1024.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-condo-quality-22-in/7486889331.html,"3,595",
2681,2022-05-22 09:15, (central LA 213/323),"Vinyl Plank Floors, Central Air, 1 Bedroom 1 Bath in Highland Park",1,600.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-vinyl-plank-floors-central/7486889154.html,"2,449",
