,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon
35,2022-05-21 19:27, (Sherman Oaks),"1 Bed 1 Bath in Sherman Oaks, Hardwood Style Floors, Air Conditioning",1,800.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-bed-bath-in-sherman-oaks/7484080532.html,"2,195","[None, None]"
36,2022-05-21 19:27, (Sherman Oaks),♜ 1 Bed 1 Bath in Sherman Oaks | Refrigerator | Quartz Counters ♜,1,800.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-bed-bath-in-sherman-oaks/7483817066.html,"2,195","[None, None]"
37,2022-05-21 19:26, (san fernando valley),"2BD 2BA, Separate dining area, Oversized walk-in closets",2,1158.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-2bd-2ba-separate-dining-area/7476341667.html,"2,831","[None, None]"
38,2022-05-21 19:26, (Burbank),1+1 in Burbank -Virtual Tour -Quartz Counters and Stylish Backsplash,1,,https://losangeles.craigslist.org/sfv/apa/d/burbank-11-in-burbank-virtual-tour/7477806498.html,"2,295","[None, None]"
39,2022-05-21 19:26, (Burbank),1 Bedroom in Burbank ^ Virtual Tour ^ Breakfast Bar ^ A/C,1,,https://losangeles.craigslist.org/sfv/apa/d/burbank-bedroom-in-burbank-virtual-tour/7477621160.html,"2,295","[None, None]"
40,2022-05-21 19:25, (Panorama City),Studio in Panorama City ^ Wood Style Floors ^ Extra Storage,,500.0,https://losangeles.craigslist.org/sfv/apa/d/panorama-city-studio-in-panorama-city/7480320986.html,"1,495","[None, None]"
41,2022-05-21 19:25, (Panorama City),Studio in Panorama City w/ Wood Style Floors | Ceiling Fan,,500.0,https://losangeles.craigslist.org/sfv/apa/d/panorama-city-studio-in-panorama-city/7480048755.html,"1,495","[None, None]"
42,2022-05-21 19:25," (4500 Woodman Ave, Sherman Oaks, CA)","Clubhouse, Tennis Court, Spa",1,580.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-clubhouse-tennis-court-spa/7485867027.html,"2,685","[None, None]"
43,2022-05-21 19:21, (san fernando valley),Studio W/ Sep. Sleeping Area in Sherman Oaks +Fridge +Pool +Granite,,,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-studio-sep-sleeping-area/7482949714.html,"1,995","[None, None]"
44,2022-05-21 19:21," (18414 W. Jakes Way, Canyon Country, CA)","Individual Washers & Dryers, Play Areas, Acres of Open Spaces",2,860.0,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-individual-washers/7486753577.html,"2,312","[None, None]"
45,2022-05-21 19:19, (Van Nuys),"Recreation Room, BBQ Area, 3 Years New, Great Views, 2+2 in Van Nuys",2,980.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-recreation-room-bbq-area-years/7486750011.html,"2,885","[None, None]"
46,2022-05-21 19:18, (Mission Hills),Studio in Mission Hills | Electricity Included | SS Appliances,,450.0,https://losangeles.craigslist.org/sfv/apa/d/mission-hills-studio-in-mission-hills/7479930290.html,"1,550","[None, None]"
47,2022-05-21 19:17, (Sherman Oaks),"1 Bedroom in Sherman Oaks With Fridge, Plank Floors, Won't Last!",1,,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-bedroom-in-sherman-oaks/7480050795.html,"1,795","[None, None]"
48,2022-05-21 19:17, (Mission Hills),"Studio Mission Hills, Renovated, Electricity Incl., Wood Style Floors",,450.0,https://losangeles.craigslist.org/sfv/apa/d/mission-hills-studio-mission-hills/7486752766.html,"1,550","[None, None]"
49,2022-05-21 19:16, (Sherman Oaks),1 Bed in Sherman Oaks * Ceiling Fans * Plank Flooring * SS Appliances,1,,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-bed-in-sherman-oaks/7486752643.html,"1,795","[None, None]"
50,2022-05-21 19:15," (4045 Vineland Avenue, Los Angeles, CA)","Side-by-side refrigerator, Heated swimming pool, Microwave",2,1135.0,https://losangeles.craigslist.org/sfv/apa/d/studio-city-side-by-side-refrigerator/7486752359.html,"3,848","[None, None]"
51,2022-05-21 19:11, (Near Ventura Boulevard),"2+2 in Sherman Oaks, Pool, Gym, SS Appliances, Plank Floors",2,1000.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-22-in-sherman-oaks-pool/7483837778.html,"2,650","[None, None]"
52,2022-05-21 19:11, (Studio City),3 Bed 2.5 Bath in Studio City | Air Conditioning  | Hardwood  Flrs,3,1830.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-bed-25-bath-in-studio/7479419399.html,"4,100","[None, None]"
53,2022-05-21 19:10, (Woodland Hills),Beautiful Views at the Best Rate in Woodland Hills,2,920.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-beautiful-views-at-the/7484867214.html,"3,040","[None, None]"
54,2022-05-21 19:09, (Van Nuys),❖ Van Nuys Studio * AC * Complete Kitchen * 2 Closet Space * Pool ❖,,425.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-van-nuys-studio-ac-complete/7486751053.html,"1,575","[None, None]"
55,2022-05-21 19:08, (Northridge),"SS Appliances, Quartz Counters, Gym, Pool | Northridge 2+2",2,945.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-ss-appliances-quartz/7486750915.html,"2,750","[None, None]"
56,2022-05-21 19:08," (Woodland Hills, CA)",***Completely Upgraded House & Guest House***,3,1377.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-completely-upgraded/7486744321.html,"1,200","[None, None]"
57,2022-05-21 19:08, (Glendale),"♠ Renovated 2+1 in Glendale w/ SS Appliances, A/C, Quartz Counters ♠",2,875.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-renovated-21-in-glendale-ss/7486750828.html,"2,450","[None, None]"
58,2022-05-21 19:05, (Van Nuys),Washer/Dryer in Unit ^ SS Appliances ^ 2+2 in Van Nuys ^ 3 Years New,2,980.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-washer-dryer-in-unit-ss/7479948234.html,"2,995","[None, None]"
